Unnamed: 0,Drug_ID,Drug,property,canonical_smiles
815,815,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,3,CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
816,816,COc1cc2oc(=O)c(C)c(C)c2cc1OCCCN1CCN(c2ccccc2OC)CC1,3,COc1cc2oc(=O)c(C)c(C)c2cc1OCCCN1CCN(c2ccccc2OC)CC1
817,817,CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21,3,COC1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)COC21
818,818,c1ccc2c(c1)CCc1cccc3c1C2CN1CCCCC31,3,c1ccc2c(c1)CCc1cccc3c1C2CN1CCCCC31
819,819,CN(C)CCC1(c2ccccc2)C=Cc2ccccc21,3,CN(C)CCC1(c2ccccc2)C=Cc2ccccc21
820,820,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3,CCOC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
821,821,CC1NC(=O)COC1c1ccccc1,3,CC1NC(=O)COC1c1ccccc1
822,822,CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O,3,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O
823,823,CN(C)CCOC(c1ccccc1)c1ccccc1C(C)(C)C,3,CN(C)CCOC(c1ccccc1)c1ccccc1C(C)(C)C
824,824,CN=C(Cc1ccc2ccccc2c1)[NH2+]C.[Cl-],3,CN=C(Cc1ccc2ccccc2c1)NC
825,825,C=C(C)CNCC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1,3,C=C(C)CNCC(=O)N(C)c1ccc(Cl)cc1C(=O)c1ccccc1
826,826,O=C(O)c1cc(=O)c2cc(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1,3,O=C(O)c1cc(=O)c2cc(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1
827,827,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1.[Cl-].[H+],3,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1
828,828,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,3,OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
829,829,C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,3,C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O
830,830,CC[C@H](NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(-c2ccccc2)nc2ccccc12)c1ccccc1,3,CCC(NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(-c2ccccc2)nc2ccccc12)c1ccccc1
831,831,O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1,3,O=c1[nH]c2ccccc2c(=O)n1CCCN1CCN(c2cccc(Cl)c2)CC1
832,832,CN1Cc2c(N)cccc2C(c2ccccc2)C1,3,CN1Cc2c(N)cccc2C(c2ccccc2)C1
833,833,c1ccc(C2(c3ccccc3)OC[C@H]([C@@H]3CCCCN3)O2)cc1,3,c1ccc(C2(c3ccccc3)OCC(C3CCCCN3)O2)cc1
834,834,CNCCOC(c1ccccc1)c1ccccc1C,3,CNCCOC(c1ccccc1)c1ccccc1C
835,835,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,3,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
836,836,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,3,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(N)=O)C(O)C5(CC)C=CCN6CCC43C65)C2)C1
837,837,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1,3,c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1
838,838,CCCC[C@@H]1CC(=O)[C@]2(O)O[C@@H]3[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@H]3O[C@@H]2O1,3,CCCCC1CC(=O)C2(O)OC3C(NC)C(O)C(NC)C(O)C3OC2O1
839,839,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,3,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12
840,840,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,3,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
841,841,CCN(CC)C(=O)N1CCN(CCCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)CC1,3,CCN(CC)C(=O)N1CCN(CCCc2nc3c(c(=O)n(C)c(=O)n3C)n2C)CC1
842,842,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,3,CN1CCC23CCCCC2C1Cc1ccc(O)cc13
843,843,CNC/C=C(/c1ccc(Br)cc1)c1cccnc1,3,CNCC=C(c1ccc(Br)cc1)c1cccnc1
844,844,C=COC=C,3,C=COC=C
845,845,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,3,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1
846,846,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3,CCCC(=O)OC1(C(=O)COC(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC21C
847,847,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,3,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1
848,848,O=C(O)CCCCC1SCC2NC(=O)NC21,3,O=C(O)CCCCC1SCC2NC(=O)NC21
849,849,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O.O,3,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O
850,850,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,3,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
851,851,CC(Cl)(Cl)Cl,3,CC(Cl)(Cl)Cl
852,852,CC(C)(C)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,3,CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
853,853,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,3,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O
854,854,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,3,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O
855,855,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,3,CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1
856,856,O=C(Cn1cnnn1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CS[C@H]12,3,O=C(Cn1cnnn1)NC1C(=O)N2C(C(=O)O)=C(CSc3nncs3)CSC12
857,857,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1ccco1,3,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1ccco1
858,858,CN(C)CCN(C)n1cc(-c2ccccc2)c2ccccc21,3,CN(C)CCN(C)n1cc(-c2ccccc2)c2ccccc21
859,859,CCCCCC(N)C(O)(c1ccccc1)c1ccccc1,3,CCCCCC(N)C(O)(c1ccccc1)c1ccccc1
